utc_datetime,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,updated_at,price_increase
2023-07-04 10:45:00,1970-01-01 00:28:08.467500,31034.0,31034.01,31030.01,31030.02,17.02839,1970-01-01 00:28:08.467559999,528434.6106358,370,5.38066,166980.903865,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:44:00,1970-01-01 00:28:08.467440,31031.18,31040.0,31031.18,31034.0,15.9777,1970-01-01 00:28:08.467499999,495896.618641,559,5.25858,163197.4577763,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:43:00,1970-01-01 00:28:08.467380,31020.6,31031.19,31020.6,31031.19,7.71794,1970-01-01 00:28:08.467439999,239464.5834663,365,6.82257,211684.813266,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:42:00,1970-01-01 00:28:08.467320,31028.94,31028.95,31020.6,31020.61,13.47222,1970-01-01 00:28:08.467379999,417955.4841519,376,1.58938,49305.2230781,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:41:00,1970-01-01 00:28:08.467260,31020.19,31033.71,31020.19,31028.94,11.75329,1970-01-01 00:28:08.467319999,364685.8966818,462,8.74463,271323.6106976,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:40:00,1970-01-01 00:28:08.467200,30946.01,31027.99,30946.0,31020.2,96.092,1970-01-01 00:28:08.467259999,2978661.292591,1341,73.25921,2270581.8908805,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:39:00,1970-01-01 00:28:08.467140,30967.5,30967.51,30946.0,30946.01,34.35851,1970-01-01 00:28:08.467199999,1063669.5589303,737,7.39737,229001.2541951,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:38:00,1970-01-01 00:28:08.467080,31017.49,31017.5,30967.5,30967.5,51.66772,1970-01-01 00:28:08.467139999,1601051.6380192,1076,15.18744,470470.7020405,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:37:00,1970-01-01 00:28:08.467020,31036.12,31036.13,31017.49,31017.49,23.90983,1970-01-01 00:28:08.467079999,741958.1803086,468,4.06154,126049.7736585,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:36:00,1970-01-01 00:28:08.466960,31021.99,31042.0,31019.55,31036.13,31.01838,1970-01-01 00:28:08.467019999,962495.2915587,757,17.45548,541643.0862042,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:35:00,1970-01-01 00:28:08.466900,30967.55,31025.41,30964.72,31022.0,76.53813,1970-01-01 00:28:08.466959999,2372459.5793739,1320,60.60888,1878742.4346093,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:34:00,1970-01-01 00:28:08.466840,30966.02,30967.56,30966.02,30967.55,3.7115,1970-01-01 00:28:08.466899999,114934.6976962,219,1.66018,51411.0807044,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:33:00,1970-01-01 00:28:08.466780,30968.96,30983.82,30966.0,30966.03,30.9248,1970-01-01 00:28:08.466839999,957901.9828944,765,10.81371,334932.8585649,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:32:00,1970-01-01 00:28:08.466720,30997.99,30998.0,30966.81,30968.96,51.82904,1970-01-01 00:28:08.466779999,1605822.0658606,909,12.15594,376515.6345961,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:31:00,1970-01-01 00:28:08.466660,30999.8,31005.9,30992.56,30997.99,30.69828,1970-01-01 00:28:08.466719999,951653.5156822,681,7.06457,219001.3959514,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:30:00,1970-01-01 00:28:08.466600,31000.0,31000.0,30999.69,30999.8,8.10151,1970-01-01 00:28:08.466659999,251144.9009175,443,4.09871,127058.854365,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:29:00,1970-01-01 00:28:08.466540,31000.11,31000.11,30999.99,30999.99,3.9742,1970-01-01 00:28:08.466599999,123200.2473604,223,1.06757,33094.6949638,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:28:00,1970-01-01 00:28:08.466480,31000.21,31000.22,31000.1,31000.1,7.39539,1970-01-01 00:28:08.466539999,229258.5660038,355,1.38341,42885.9758046,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:27:00,1970-01-01 00:28:08.466420,31000.5,31000.5,31000.21,31000.21,7.02,1970-01-01 00:28:08.466479999,217622.5245922,317,1.91171,59263.6483655,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:26:00,1970-01-01 00:28:08.466360,31002.0,31002.0,31000.49,31000.49,12.12394,1970-01-01 00:28:08.466419999,375864.1180087,294,1.90608,59092.046475,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:25:00,1970-01-01 00:28:08.466300,31003.69,31005.49,31001.99,31002.0,19.50263,1970-01-01 00:28:08.466359999,604655.5348368,401,6.12426,189873.1233726,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:24:00,1970-01-01 00:28:08.466240,30999.19,31005.5,30999.19,31003.7,14.90451,1970-01-01 00:28:08.466299999,462074.066847,363,8.48534,263050.5395721,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:23:00,1970-01-01 00:28:08.466180,31005.91,31005.92,30998.42,30999.19,20.42148,1970-01-01 00:28:08.466239999,633117.1270548,515,2.23027,69144.5149296,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:22:00,1970-01-01 00:28:08.466120,31005.92,31005.92,31005.91,31005.92,3.26636,1970-01-01 00:28:08.466179999,101276.4798178,265,1.56302,48462.8730784,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:21:00,1970-01-01 00:28:08.466060,31005.99,31006.0,31005.91,31005.92,13.69398,1970-01-01 00:28:08.466119999,424595.046483,309,2.38235,73866.9588248,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:20:00,1970-01-01 00:28:08.466000,31006.59,31006.6,31005.91,31006.0,7.66258,1970-01-01 00:28:08.466059999,237587.0987047,536,4.85853,150643.6692508,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:19:00,1970-01-01 00:28:08.465940,31014.19,31014.2,31006.59,31006.6,13.10709,1970-01-01 00:28:08.465999999,406437.4762766,503,1.54588,47933.8263783,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:18:00,1970-01-01 00:28:08.465880,31006.48,31016.31,31006.47,31014.2,9.26254,1970-01-01 00:28:08.465939999,287246.6883065,410,6.49455,201401.1194521,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:17:00,1970-01-01 00:28:08.465820,31007.08,31007.08,31006.47,31006.48,5.33123,1970-01-01 00:28:08.465879999,165304.1132154,248,1.57898,48958.7830904,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:16:00,1970-01-01 00:28:08.465760,31005.15,31007.08,31005.14,31007.07,10.84848,1970-01-01 00:28:08.465819999,336370.3305453,354,4.74853,147232.0761757,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:15:00,1970-01-01 00:28:08.465700,31017.54,31017.54,31005.14,31005.14,8.87834,1970-01-01 00:28:08.465759999,275345.963508,357,2.56044,79406.5072942,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:14:00,1970-01-01 00:28:08.465640,31017.53,31017.54,31017.53,31017.53,1.97445,1970-01-01 00:28:08.465699999,61242.5681474,216,0.60389,18731.1822306,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:13:00,1970-01-01 00:28:08.465580,31017.53,31017.54,31017.53,31017.53,5.662,1970-01-01 00:28:08.465639999,175621.2761741,235,2.13141,66111.0949314,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:12:00,1970-01-01 00:28:08.465520,31034.38,31034.39,31017.53,31017.54,21.54766,1970-01-01 00:28:08.465579999,668459.4486097,446,1.53122,47504.9500688,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:11:00,1970-01-01 00:28:08.465460,31030.31,31039.06,31030.31,31034.39,22.93586,1970-01-01 00:28:08.465519999,711855.4108645,462,8.90266,276297.9107845,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:10:00,1970-01-01 00:28:08.465400,31026.79,31030.32,31026.0,31030.31,24.11857,1970-01-01 00:28:08.465459999,748321.8996023,451,19.58457,607639.249916,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:09:00,1970-01-01 00:28:08.465340,31030.32,31030.32,31026.78,31026.79,9.5637,1970-01-01 00:28:08.465399999,296762.3869808,309,1.34581,41760.0784551,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:08:00,1970-01-01 00:28:08.465280,31030.31,31030.32,31030.31,31030.32,4.65472,1970-01-01 00:28:08.465339999,144437.4267111,284,2.21479,68725.6424328,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:07:00,1970-01-01 00:28:08.465220,31021.91,31030.37,31021.91,31030.31,17.12742,1970-01-01 00:28:08.465279999,531405.1172727,475,11.95836,371029.2051234,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:06:00,1970-01-01 00:28:08.465160,31015.05,31021.92,31015.04,31021.91,9.31789,1970-01-01 00:28:08.465219999,289017.6464483,341,8.45729,262322.9047445,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:05:00,1970-01-01 00:28:08.465100,31020.84,31020.85,31014.83,31015.05,11.26928,1970-01-01 00:28:08.465159999,349548.4575763,298,1.58079,49032.3128755,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:04:00,1970-01-01 00:28:08.465040,31019.31,31020.85,31019.31,31020.84,8.56337,1970-01-01 00:28:08.465099999,265637.0353455,265,7.83762,243123.7763268,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:03:00,1970-01-01 00:28:08.464980,31016.91,31019.32,31013.26,31019.31,18.49962,1970-01-01 00:28:08.465039999,573783.8814403,443,11.65503,361490.0704256,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:02:00,1970-01-01 00:28:08.464920,31016.91,31016.91,31016.9,31016.91,7.29841,1970-01-01 00:28:08.464979999,226374.0761276,303,2.29986,71334.5506326,0,2023-07-04 11:37:44.037541,0
2023-07-04 10:01:00,1970-01-01 00:28:08.464860,31010.1,31016.91,31010.09,31016.9,10.9269,1970-01-01 00:28:08.464919999,338874.3103491,455,10.27699,318719.4851138,0,2023-07-04 11:37:44.037541,1
2023-07-04 10:00:00,1970-01-01 00:28:08.464800,31016.92,31016.92,31010.09,31010.09,15.15007,1970-01-01 00:28:08.464859999,469879.124364,397,6.44965,200034.6671384,0,2023-07-04 11:37:44.037541,0
